Academic Year,Program 1,Term 1,Program 2,Term 2,Need Category,Program Type 1
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,No,Summer
2017-2018 Academic Year,Luther Independent Study / Directed Reading / Internship,Summer,,,No,Independent J-Term
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,No,Summer
2017-2018 Academic Year,Luther Nottingham Academic Year,Academic Year,,,No,Luther Sem./Year
2017-2018 Academic Year,Kenchreai Field School,Summer,,,No,Summer
2017-2018 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Paideia 450: Exploring the Ethics of Sustainable Organizations,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Communication Studies 239/Physical Education 239: How Soccer Explains Europe: Coaching Methods and Critical Approaches,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,API Humanities and Social Sciences in Buenos Aires,Spring,,,No,Other Sem./Year
2017-2018 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,MÃ¼nster Semester,Spring,,,No,Luther Sem./Year
2017-2018 Academic Year,"Paideia 450: Forging Paths to Peace: Personal, Political, and Social Reconciliation in Northern Ireland",J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,,,No,Luther J-Term
2017-2018 Academic Year,IFSA- Griffith University,Spring,,,No,Other Sem./Year
2017-2018 Academic Year,"ISA Sevilla, Spain: International Studies, Business & Spanish Language - Academic Year/Semester",Spring,,,No,Other Sem./Year
2017-2018 Academic Year,Paideia 450: Working Japan: Religion and Corporate Culture in Japan,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Chicago Center,Fall,,,No,Domestic Sem./Year
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,History 299: History and Memory of the Holocaust,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Luther Nordic Choir International Tour,Summer,,,No,Summer
2017-2018 Academic Year,Paideia 450: Working Japan: Religion and Corporate Culture in Japan,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Luther Nottingham Academic Year,Academic Year,,,No,Luther Sem./Year
2017-2018 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,"Paideia 450: Islam in Europe: Politics, Religion and Refugees",J-Term,Luther Independent Study / Directed Reading / Internship,Summer,No,Luther J-Term
2017-2018 Academic Year,Paideia 450: Exploring the Ethics of Sustainable Organizations,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,University of South-Eastern Norway at BÃ¸,Spring,,,No,Other Sem./Year
2017-2018 Academic Year,Music 245: Choral Singing in Namibia and South Africa,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Music 245: Choral Singing in Namibia and South Africa,J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Spanish 340: Language and Culture in the Spanish-Speaking World (Spain),J-Term,,,No,Luther J-Term
2017-2018 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,No,Luther J-Term
