Academic Year,Program 1,Term 1,Program 2,Term 2,Need Category,Program Type 1
2016-2017 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Communication Studies 239: Environmental Communication in Belize,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,"Paideia 450: Christianity, Slavery, and Their Representations in Ghanaian Literature",J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Spanish 341: Spanish for Medical Professionals (Peru),J-Term,Nottingham Summer Nursing,Summer,No,Luther J-Term
2016-2017 Academic Year,Paideia 450: Making Decisions for U. S. Schools: The Case in Hawaii,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Chicago Center,Spring,,,No,Domestic Sem./Year
2016-2017 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Spanish 341: Spanish for Medical Professionals (Peru),J-Term,Performing Arts Abroad - Ghana,Summer,No,Luther J-Term
2016-2017 Academic Year,Art 290: Renaissance Drawing in Contemporary Context,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Paideia 450: Making Decisions for U. S. Schools: The Case in Hawaii,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Social Work 239: Imagining a Sustainable Future: Scandinavian Models,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Art 290: Renaissance Drawing in Contemporary Context,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,University of South-Eastern Norway at BÃ¸,Spring,,,No,Other Sem./Year
2016-2017 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,Nottingham Summer Nursing,Summer,,,very low,Summer
2016-2017 Academic Year,University of South-Eastern Norway at BÃ¸,Fall,,,very low,Other Sem./Year
2016-2017 Academic Year,Spanish 340: Language and Culture in Guatemala and Costa Rica,J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,Kenchreai Field School,Summer,,,very low,Summer
2016-2017 Academic Year,"Paideia 450: War, Peace and Reconciliation in Cambodia",J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,Biology 245: Ecology of Ecuador,J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,USAC Norway: University of Oslo Undergraduate and Graduate Courses,Fall,,,very low,Other Sem./Year
2016-2017 Academic Year,Communication Studies 239: Environmental Communication in Belize,J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,Spanish 340: Language and Culture in Guatemala and Costa Rica,J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,Social Work 239: Imagining a Sustainable Future: Scandinavian Models,J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,USAC Norway: University of Oslo Undergraduate and Graduate Courses,Spring,,,very low,Other Sem./Year
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,USAC Norway: University of Oslo Undergraduate and Graduate Courses,Fall,Lutheran College Washington Semester,Spring,very low,Other Sem./Year
2016-2017 Academic Year,"Paideia 450: War, Peace and Reconciliation in Cambodia",J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,USAC Norway: University of Oslo Undergraduate and Graduate Courses,Fall,,,very low,Other Sem./Year
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,University of South-Eastern Norway at BÃ¸,Spring,Spanish Studies Abroad Summer Term - Alicante,Summer,very low,Other Sem./Year
2016-2017 Academic Year,Paideia 450: Making Decisions for U. S. Schools: The Case in Hawaii,J-Term,,,very low,Luther J-Term
2016-2017 Academic Year,Paideia 450: Making Decisions for U. S. Schools: The Case in Hawaii,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Communication Studies 239: Environmental Communication in Belize,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,University of South-Eastern Norway at BÃ¸,Spring,,,low,Other Sem./Year
2016-2017 Academic Year,Spanish 340: Language and Culture in Guatemala and Costa Rica,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Social Work 239: Imagining a Sustainable Future: Scandinavian Models,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Luther Nottingham Academic Year,Academic Year,,,low,Luther Sem./Year
2016-2017 Academic Year,Lutheran College Washington Semester,Spring,,,low,Domestic Sem./Year
2016-2017 Academic Year,Communication Studies 239: Environmental Communication in Belize,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,USAC Norway: University of Oslo Undergraduate and Graduate Courses,Fall,,,low,Other Sem./Year
2016-2017 Academic Year,University of South-Eastern Norway at BÃ¸,Fall,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,low,Other Sem./Year
2016-2017 Academic Year,"Paideia 450: Christianity, Slavery, and Their Representations in Ghanaian Literature",J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,CIS Abroad Semester in Thailand - Mahidol University,Spring,,,low,Other Sem./Year
2016-2017 Academic Year,Paideia 450: Making Decisions for U. S. Schools: The Case in Hawaii,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Communication Studies 239: Environmental Communication in Belize,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,low,Luther J-Term
2016-2017 Academic Year,ACM Jordan: Middle East & Arabic Language Studies,Fall,,,low,Other Sem./Year
2016-2017 Academic Year,Communication Studies 239: Environmental Communication in Belize,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Communication Studies 239: Environmental Communication in Belize,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,"Paideia 450: War, Peace and Reconciliation in Cambodia",J-Term,Nottingham Summer Nursing,Summer,low,Luther J-Term
2016-2017 Academic Year,International Student Teaching,Spring,,,low,Intl. Teaching
2016-2017 Academic Year,Spanish 340: Language and Culture in Guatemala and Costa Rica,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Communication Studies 239: Environmental Communication in Belize,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,"Paideia 450: Christianity, Slavery, and Their Representations in Ghanaian Literature",J-Term,,,low,Luther J-Term
2016-2017 Academic Year,USAC Norway: University of Oslo Undergraduate and Graduate Courses,Fall,,,low,Other Sem./Year
2016-2017 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,University of South-Eastern Norway at BÃ¸,Fall,,,low,Other Sem./Year
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Malta and the Mediterranean,Spring,,,low,Luther Sem./Year
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,American Council of Teachers of Russian (ACTR),Fall,,,low,Other Sem./Year
2016-2017 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,"Political Science 239: Development, Inequality, and Race in Brazil",J-Term,,,low,Luther J-Term
2016-2017 Academic Year,Paideia 450: Making Decisions for U. S. Schools: The Case in Hawaii,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,"ISA Madrid, Spain: Spanish Language, Hispanic Studies & Electives at Universidad Antonio de Nebrija - Summer",Summer,,,low,Summer
2016-2017 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,"Goethe Institute - Mannheim, Germany",Summer,,,low,Summer
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,low,Luther J-Term
2016-2017 Academic Year,API Semester Spanish Language and Culture for Beginning/Intermediate Speakers in Granada,Fall,,,low,Other Sem./Year
2016-2017 Academic Year,Chicago Center,Spring,,,high,Domestic Sem./Year
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,SIT Study Abroad Rwanda: Post-Genocide Restoration and Peacebuilding,Spring,,,Med,Other Sem./Year
2016-2017 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Luther Nottingham Academic Year,Academic Year,,,Med,Luther Sem./Year
2016-2017 Academic Year,"DISCONTINUED: ISA Dublin, Ireland: Nursing and Natural Sciences at Trinity College Dublin-Academic Year/Semester",Fall,,,Med,Other Sem./Year
2016-2017 Academic Year,Spanish 341: Spanish for Medical Professionals (Peru),J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,"Paideia 450: Christianity, Slavery, and Their Representations in Ghanaian Literature",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,"Paideia 450: Christianity, Slavery, and Their Representations in Ghanaian Literature",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Nottingham Summer Nursing,Summer,,,Med,Summer
2016-2017 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,Chicago Center,Spring,Med,Luther J-Term
2016-2017 Academic Year,Chicago Center,Spring,,,Med,Domestic Sem./Year
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Lutheran College Washington Semester,Fall,,,Med,Domestic Sem./Year
2016-2017 Academic Year,Nottingham Summer Nursing,Summer,,,Med,Summer
2016-2017 Academic Year,"Paideia 450: War, Peace and Reconciliation in Cambodia",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Biology 245: Ecology of Ecuador,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,CET Beijing: Internship,Summer,,,Med,Summer
2016-2017 Academic Year,"Paideia 450: Christianity, Slavery, and Their Representations in Ghanaian Literature",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Spanish 341: Spanish for Medical Professionals (Peru),J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,"Paideia 450: War, Peace and Reconciliation in Cambodia",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Luther Nottingham Academic Year,Academic Year,,,Med,Luther Sem./Year
2016-2017 Academic Year,Malta and the Mediterranean,Spring,,,Med,Luther Sem./Year
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Social Work 239: Imagining a Sustainable Future: Scandinavian Models,J-Term,Chicago Center,Spring,Med,Luther J-Term
2016-2017 Academic Year,Spanish 341: Spanish for Medical Professionals (Peru),J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,API Semester French Language and Culture Studies in Grenoble,Fall,"Paideia 450: Christianity, Slavery, and Their Representations in Ghanaian Literature",J-Term,Med,Other Sem./Year
2016-2017 Academic Year,"ISA Sevilla, Spain: International Studies, Business & Spanish Language - Academic Year/Semester",Fall,,,Med,Other Sem./Year
2016-2017 Academic Year,"Paideia 450: Christianity, Slavery, and Their Representations in Ghanaian Literature",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,"ISA Santiago, Dominican Republic: Caribbean Culture & Spanish Language",Summer,,,Med,Summer
2016-2017 Academic Year,Lutheran College Washington Semester,Spring,,,Med,Domestic Sem./Year
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Luther Nottingham Academic Year,Academic Year,,,Med,Luther Sem./Year
2016-2017 Academic Year,"Creation Care: Christian Environmental Study Program, New Zealand",Spring,,,Med,Other Sem./Year
2016-2017 Academic Year,Biology 245: Ecology of Ecuador,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Spanish 340: Language and Culture in Guatemala and Costa Rica,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Biology 245: Ecology of Ecuador,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,"Paideia 450: War, Peace and Reconciliation in Cambodia",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Biology 245: Ecology of Ecuador,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Chicago Center,Fall,,,Med,Domestic Sem./Year
2016-2017 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,ACM Tanzania: Ecology & Human Origins,Fall,"Paideia 450: War, Peace and Reconciliation in Cambodia",J-Term,Med,Other Sem./Year
2016-2017 Academic Year,"Political Science 239: Development, Inequality, and Race in Brazil",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,International Student Teaching,Spring,,,Med,Intl. Teaching
2016-2017 Academic Year,Social Work 239: Imagining a Sustainable Future: Scandinavian Models,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Kenchreai Field School,Summer,,,Med,Summer
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Communication Studies 239: Environmental Communication in Belize,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Social Work 239: Imagining a Sustainable Future: Scandinavian Models,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Luther Independent Study / Directed Reading / Internship,Summer,,,Med,Independent J-Term
2016-2017 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,University of South-Eastern Norway at BÃ¸,Fall,,,Med,Other Sem./Year
2016-2017 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Luther Nottingham Academic Year,Academic Year,,,Med,Luther Sem./Year
2016-2017 Academic Year,Malta and the Mediterranean,Spring,,,Med,Luther Sem./Year
2016-2017 Academic Year,Art 290: Renaissance Drawing in Contemporary Context,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,"Paideia 450: Christianity, Slavery, and Their Representations in Ghanaian Literature",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,"ISA Buenos Aires, Argentina: Latin American Studies and Courses with Locals- Semester",Spring,,,Med,Other Sem./Year
2016-2017 Academic Year,"Paideia 450: War, Peace and Reconciliation in Cambodia",J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Communication Studies 239: Environmental Communication in Belize,J-Term,,,Med,Luther J-Term
2016-2017 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: Schooling in Jamaica and the United States,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: Making Decisions for U. S. Schools: The Case in Hawaii,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Spanish 341: Spanish for Medical Professionals (Peru),J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Malta and the Mediterranean,Spring,,,High,Luther Sem./Year
2016-2017 Academic Year,Education 185/215: Clinical Experience 1 in the Schools,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Nottingham Summer Nursing,Summer,,,High,Summer
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,CIS Abroad Summer in Costa Rica,Summer,,,High,Summer
2016-2017 Academic Year,Spanish 341: Spanish for Medical Professionals (Peru),J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Malta and the Mediterranean,Spring,,,High,Luther Sem./Year
2016-2017 Academic Year,Spanish 341: Spanish for Medical Professionals (Peru),J-Term,Spanish Studies Abroad Internship Programs,Summer,High,Luther J-Term
2016-2017 Academic Year,Spanish 340: Language and Culture in Guatemala and Costa Rica,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,"Paideia 450: Christianity, Slavery, and Their Representations in Ghanaian Literature",J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Biology 245: Ecology of Ecuador,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,English 262: Tolkien and Lewis in Context,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,"Political Science 239: Development, Inequality, and Race in Brazil",J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,CISabroad Study Internship in London,Spring,,,High,Other Sem./Year
2016-2017 Academic Year,Paideia 450: Making Decisions for U. S. Schools: The Case in Hawaii,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: Making Decisions for U. S. Schools: The Case in Hawaii,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: Making Decisions for U. S. Schools: The Case in Hawaii,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,"Political Science 239: Development, Inequality, and Race in Brazil",J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Communication Studies 239: Environmental Communication in Belize,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Spanish 341: Spanish for Medical Professionals (Peru),J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,"English 239:""Tales of the Sea"" on the Windjammer, Roseway",J-Term,,,High,Luther J-Term
2016-2017 Academic Year,"Paideia 450: War, Peace and Reconciliation in Cambodia",J-Term,,,High,Luther J-Term
2016-2017 Academic Year,"Political Science 239: Development, Inequality, and Race in Brazil",J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,"Paideia 450: Christianity, Slavery, and Their Representations in Ghanaian Literature",J-Term,,,High,Luther J-Term
2016-2017 Academic Year,"ISA Paris, France: French Language & Liberal Arts at theInstitut Catholique de Paris - Semester/Academic Year",Spring,,,High,Other Sem./Year
2016-2017 Academic Year,Chicago Center,Spring,,,High,Domestic Sem./Year
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,High,Luther J-Term
2016-2017 Academic Year,"Paideia 450: Christianity, Slavery, and Their Representations in Ghanaian Literature",J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Nottingham Summer Nursing,Summer,,,High,Summer
2016-2017 Academic Year,Malta and the Mediterranean,Spring,,,High,Luther Sem./Year
2016-2017 Academic Year,Art 290: Renaissance Drawing in Contemporary Context,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: Making Decisions for U. S. Schools: The Case in Hawaii,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Paideia 450: Schooling in Jamaica and the United States,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Social Work 239: Imagining a Sustainable Future: Scandinavian Models,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Communication Studies 239: Environmental Communication in Belize,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Lutheran College Washington Semester,Fall,,,High,Domestic Sem./Year
2016-2017 Academic Year,Biology 245: Ecology of Ecuador,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Chicago Center,Spring,,,High,Domestic Sem./Year
2016-2017 Academic Year,CIS Abroad January in Barcelona,J-Term,,,High,Luther J-Term
2016-2017 Academic Year,"Paideia 450: Christianity, Slavery, and Their Representations in Ghanaian Literature",J-Term,,,High,Luther J-Term
2016-2017 Academic Year,Luther Nottingham Academic Year,Academic Year,,,High,Luther Sem./Year
