Academic Year,Program 1,Term 1,Program 2,Term 2,Need Category,Program Type 1
2016-2017 Academic Year,Paideia 450: Making Decisions for U. S. Schools: The Case in Hawaii,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Malta and the Mediterranean,Spring,,,No,Luther Sem./Year
2016-2017 Academic Year,Communication Studies 239: Environmental Communication in Belize,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Malta and the Mediterranean,Spring,,,No,Luther Sem./Year
2016-2017 Academic Year,Paideia 450: Schooling in Jamaica and the United States,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Paideia 450: Schooling in Jamaica and the United States,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,"Political Science 239: Development, Inequality, and Race in Brazil",J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Art 290: Renaissance Drawing in Contemporary Context,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,"Classics 299: Ancient Greece, An Odyssey of Myth and History",J-Term,,,No,Luther J-Term
2016-2017 Academic Year,"Paideia 450: Christianity, Slavery, and Their Representations in Ghanaian Literature",J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Biology 245: Ecology of Ecuador,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Chicago Center,Fall,,,No,Domestic Sem./Year
2016-2017 Academic Year,"Paideia 450: War, Peace and Reconciliation in Cambodia",J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Paideia 450: Schooling in Jamaica and the United States,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Environmental Studies 240: Environmental Issues in the Pacific Northwest,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,"ISA Valparaiso/ Vina del Mar, Chile: Latin American Studies & Courses with Locals- Academic Year/Semester",Fall,,,No,Other Sem./Year
2016-2017 Academic Year,Malta and the Mediterranean,Spring,,,No,Luther Sem./Year
2016-2017 Academic Year,Paideia 450: Green Europe: Advanced Models of Sustainability,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Paideia 450: English Theatre: Mirror of Society and of the Human Condition,J-Term,,,No,Luther J-Term
2016-2017 Academic Year,Earth & Environment in Italy,Fall,,,No,Luther Sem./Year
2016-2017 Academic Year,Paideia 450: People and Parks: Pastoralism and Conservation in East Africa,J-Term,,,No,Luther J-Term
